,s-1l,s-1u,s-2l,s-2u
228259,0.999989882577206,1.0,0.999989882577206,1.0
228260,0.999989882577206,1.0,0.999989882577206,1.0
228267,0.9999898378737223,1.0,0.9999898378737223,1.0
228268,0.9999898378737223,1.0,0.9999898378737223,1.0
228269,0.9999898378737223,1.0,0.9999898378737223,1.0
228270,0.9999898378737223,1.0,0.9999898378737223,1.0
228271,0.9999898378737223,1.0,0.9999898378737223,1.0
228272,0.9999898378737223,1.0,0.9999898378737223,1.0
228273,0.9999898378737223,1.0,0.9999898378737223,1.0
228274,0.9999898378737223,1.0,0.9999898378737223,1.0
228275,0.9999898378737223,1.0,0.9999898378737223,1.0
228277,0.03253585474218049,0.0,0.9999898378737223,1.0
228278,0.03253585474218049,0.0,0.9999898378737223,1.0
228285,0.9999898378737223,1.0,0.9999898378737223,1.0
228286,0.9999898378737223,1.0,0.9999898378737223,1.0
228287,0.9999898378737223,1.0,0.9999898378737223,1.0
228288,0.9999898378737223,1.0,0.9999898378737223,1.0
228289,0.9999898378737223,1.0,0.9999898378737223,1.0
228290,0.9999898378737223,1.0,0.9999898378737223,1.0
228291,0.9999898378737223,1.0,0.9999898378737223,1.0
228292,0.9999898378737223,1.0,0.9999898378737223,1.0
228293,0.9999898378737223,1.0,0.9999898378737223,1.0
228294,0.9999898378737223,1.0,0.9999898378737223,1.0
228295,0.9999898378737223,1.0,0.9999898378737223,1.0
228296,0.9999898378737223,1.0,0.9999898378737223,1.0
228297,0.9999898378737223,1.0,0.9999898378737223,1.0
228298,0.9999898378737223,1.0,0.9999898378737223,1.0
228299,0.9999898378737223,1.0,0.9999898378737223,1.0
228303,0.9999898602254641,1.0,0.9999898602254641,1.0
228304,0.9999898602254641,1.0,0.9999898602254641,1.0
228311,0.9999898080713999,1.0,0.9999898080713999,1.0
228312,0.9999898080713999,1.0,0.9999898080713999,1.0
228313,0.9999898080713999,1.0,0.9999898080713999,1.0
228314,0.9999898080713999,1.0,0.9999898080713999,1.0
228315,0.9999898080713999,1.0,0.9999898080713999,1.0
228317,8.321367208064239e-07,0.0,0.9999898080713999,1.0
228318,8.321367208064239e-07,0.0,0.9999898080713999,1.0
228321,2.4214386951278144e-08,0.0,2.4214386951278144e-08,0.0
228322,2.4214386951278144e-08,0.0,2.4214386951278144e-08,0.0
228323,2.4214386951278144e-08,0.0,2.4214386951278144e-08,0.0
228324,2.4214386951278144e-08,0.0,2.4214386951278144e-08,0.0
228326,0.016702950008540857,0.0,2.4214386951278144e-08,0.0
228327,0.016702950008540857,0.0,2.4214386951278144e-08,0.0
228328,0.016702950008540857,0.0,2.4214386951278144e-08,0.0
228329,0.016702950008540857,0.0,2.4214386951278144e-08,0.0
228330,0.016702950008540857,0.0,2.4214386951278144e-08,0.0
228333,0.9999898602254641,1.0,0.9999898602254641,1.0
228335,0.0017090188347310847,0.0,0.9999898602254641,1.0
228337,0.0017090188347310847,0.0,0.0017090188347310847,0.0
228339,0.0017090188347310847,0.0,0.0017090188347310847,0.0
228341,0.0017090188347310847,0.0,0.0017090188347310847,0.0
228343,0.0017090188347310847,0.0,0.0017090188347310847,0.0
228345,0.0017090188347310847,0.0,0.0017090188347310847,0.0
228347,9.313225750491594e-10,0.0,0.0017090188347310847,0.0
228349,1.396983862573739e-09,0.0,9.313225750491594e-10,0.0
228350,1.396983862573739e-09,0.0,9.313225750491594e-10,0.0
228351,1.396983862573739e-09,0.0,9.313225750491594e-10,0.0
228353,0.03509131075585788,0.0,1.396983862573739e-09,0.0
228354,0.03509131075585788,0.0,1.396983862573739e-09,0.0
228355,0.03509131075585788,0.0,1.396983862573739e-09,0.0
228356,0.03509131075585788,0.0,1.396983862573739e-09,0.0
228357,0.03509131075585788,0.0,1.396983862573739e-09,0.0
228358,0.03509131075585788,0.0,1.396983862573739e-09,0.0
228359,0.03509131075585788,0.0,1.396983862573739e-09,0.0
228360,0.03509131075585788,0.0,1.396983862573739e-09,0.0
228361,0.03509131075585788,0.0,1.396983862573739e-09,0.0
228362,0.03509131075585788,0.0,1.396983862573739e-09,0.0
228364,0.054346382643257446,0.0,0.03509131075585788,0.0
228365,0.054346382643257446,0.0,0.03509131075585788,0.0
228366,0.054346382643257446,0.0,0.03509131075585788,0.0
228370,0.05434639754441865,0.0,0.05434639754441865,0.0
228373,0.0325246751459896,0.0,0.0325246751459896,0.0
228374,0.0325246751459896,0.0,0.0325246751459896,0.0
228375,0.0325246751459896,0.0,0.0325246751459896,0.0
228376,0.0325246751459896,0.0,0.0325246751459896,0.0
228377,0.0325246751459896,0.0,0.0325246751459896,0.0
228378,0.0325246751459896,0.0,0.0325246751459896,0.0
228380,0.9999899719841732,1.0,0.0325246751459896,0.0
228386,0.9999899496324314,1.0,0.9999899496324314,1.0
228387,0.9999899496324314,1.0,0.9999899496324314,1.0
228388,0.9999899496324314,1.0,0.9999899496324314,1.0
228389,0.9999899496324314,1.0,0.9999899496324314,1.0
228390,0.9999899496324314,1.0,0.9999899496324314,1.0
228391,0.9999899496324314,1.0,0.9999899496324314,1.0
228392,0.9999899496324314,1.0,0.9999899496324314,1.0
228398,0.9999899347312702,1.0,0.9999899347312702,1.0
228399,0.9999899347312702,1.0,0.9999899347312702,1.0
228400,0.9999899347312702,1.0,0.9999899347312702,1.0
228401,0.9999899347312702,1.0,0.9999899347312702,1.0
228402,0.9999899347312702,1.0,0.9999899347312702,1.0
228403,0.9999899347312702,1.0,0.9999899347312702,1.0
228404,0.9999899347312702,1.0,0.9999899347312702,1.0
228405,0.9999899347312702,1.0,0.9999899347312702,1.0
228406,0.9999899347312702,1.0,0.9999899347312702,1.0
228407,0.9999899347312702,1.0,0.9999899347312702,1.0
228408,0.9999899347312702,1.0,0.9999899347312702,1.0
228409,0.9999899347312702,1.0,0.9999899347312702,1.0
228410,0.9999899347312702,1.0,0.9999899347312702,1.0
228411,0.9999899347312702,1.0,0.9999899347312702,1.0
228412,0.9999899347312702,1.0,0.9999899347312702,1.0
228413,0.9999899347312702,1.0,0.9999899347312702,1.0
228415,0.0,0.0,0.9999899347312702,1.0
228418,0.0,0.0,0.0,0.0
228419,0.0,0.0,0.0,0.0
228420,0.0,0.0,0.0,0.0
228421,0.0,0.0,0.0,0.0
228422,0.0,0.0,0.0,0.0
228424,0.05434629323629024,0.0,0.0,0.0
228427,0.0,0.0,0.0,0.0
228428,0.0,0.0,0.0,0.0
228429,0.0,0.0,0.0,0.0
228430,0.0,0.0,0.0,0.0
228431,0.0,0.0,0.0,0.0
228432,0.0,0.0,0.0,0.0
228433,0.0,0.0,0.0,0.0
228434,0.0,0.0,0.0,0.0
228435,0.0,0.0,0.0,0.0
228436,0.0,0.0,0.0,0.0
228437,0.0,0.0,0.0,0.0
228438,0.0,0.0,0.0,0.0
228439,0.0,0.0,0.0,0.0
228444,0.9999899421818508,1.0,0.9999899421818508,1.0
228445,0.9999899421818508,1.0,0.9999899421818508,1.0
228446,0.9999899421818508,1.0,0.9999899421818508,1.0
228447,0.9999899421818508,1.0,0.9999899421818508,1.0
228448,0.9999899421818508,1.0,0.9999899421818508,1.0
228449,0.9999899421818508,1.0,0.9999899421818508,1.0
228450,0.9999899421818508,1.0,0.9999899421818508,1.0
228451,0.9999899421818508,1.0,0.9999899421818508,1.0
228452,0.9999899421818508,1.0,0.9999899421818508,1.0
228453,0.9999899421818508,1.0,0.9999899421818508,1.0
228456,1.0,7.629452739355006e-06,1.0,7.629452739355006e-06
228457,1.0,7.629452739355006e-06,1.0,7.629452739355006e-06
228458,1.0,7.629452739355006e-06,1.0,7.629452739355006e-06
228459,1.0,7.629452739355006e-06,1.0,7.629452739355006e-06
228460,1.0,7.629452739355006e-06,1.0,7.629452739355006e-06
228461,1.0,7.629452739355006e-06,1.0,7.629452739355006e-06
228462,1.0,7.629452739355006e-06,1.0,7.629452739355006e-06
228463,1.0,7.629452739355006e-06,1.0,7.629452739355006e-06
228467,0.053684297974074396,0.0,0.053684297974074396,0.0
228468,0.053684297974074396,0.0,0.053684297974074396,0.0
228469,0.053684297974074396,0.0,0.053684297974074396,0.0
228473,0.0,0.0,0.0,0.0
228476,0.0325246751459896,0.0,0.0325246751459896,0.0
228477,0.0325246751459896,0.0,0.0325246751459896,0.0
228479,0.0,0.0,0.0325246751459896,0.0
228480,0.0,0.0,0.0325246751459896,0.0
228481,0.0,0.0,0.0325246751459896,0.0
228482,0.0,0.0,0.0325246751459896,0.0
228483,0.0,0.0,0.0325246751459896,0.0
228484,0.0,0.0,0.0325246751459896,0.0
228485,0.0,0.0,0.0325246751459896,0.0
228486,0.0,0.0,0.0325246751459896,0.0
228487,0.0,0.0,0.0325246751459896,0.0
228488,0.0,0.0,0.0325246751459896,0.0
228489,0.0,0.0,0.0325246751459896,0.0
228490,0.0,0.0,0.0325246751459896,0.0
228493,0.9999915962107441,1.0,0.9999915962107441,1.0
228494,0.9999915962107441,1.0,0.9999915962107441,1.0
228500,0.9999915589578411,1.0,0.9999915589578411,1.0
228501,0.9999915589578411,1.0,0.9999915589578411,1.0
228502,0.9999915589578411,1.0,0.9999915589578411,1.0
228503,0.9999915589578411,1.0,0.9999915589578411,1.0
228504,0.9999915589578411,1.0,0.9999915589578411,1.0
228505,0.9999915589578411,1.0,0.9999915589578411,1.0
228506,0.9999915589578411,1.0,0.9999915589578411,1.0
228507,0.9999915589578411,1.0,0.9999915589578411,1.0
228508,0.9999915589578411,1.0,0.9999915589578411,1.0
228509,0.9999915589578411,1.0,0.9999915589578411,1.0
228510,0.9999915589578411,1.0,0.9999915589578411,1.0
228511,0.9999915589578411,1.0,0.9999915589578411,1.0
228512,0.9999915589578411,1.0,0.9999915589578411,1.0
228520,0.004870198669317271,0.0,0.9999915664084217,1.0
228521,0.004870198669317271,0.0,0.9999915664084217,1.0
228522,0.004870198669317271,0.0,0.9999915664084217,1.0
228523,0.004870198669317271,0.0,0.9999915664084217,1.0
228525,0.03253591062153499,0.0,0.004870198669317271,0.0
228527,0.009155273441763256,0.0,0.03253591062153499,0.0
228528,0.009155273441763256,0.0,0.03253591062153499,0.0
228533,0.9999899496324314,1.0,0.9999899496324314,1.0
228534,0.9999899496324314,1.0,0.9999899496324314,1.0
228535,0.9999899496324314,1.0,0.9999899496324314,1.0
228536,0.9999899496324314,1.0,0.9999899496324314,1.0
228537,0.9999899496324314,1.0,0.9999899496324314,1.0
228538,0.9999899496324314,1.0,0.9999899496324314,1.0
228539,0.9999899496324314,1.0,0.9999899496324314,1.0
228545,0.9999899347312702,1.0,0.9999899347312702,1.0
228546,0.9999899347312702,1.0,0.9999899347312702,1.0
228547,0.9999899347312702,1.0,0.9999899347312702,1.0
228548,0.9999899347312702,1.0,0.9999899347312702,1.0
228549,0.9999899347312702,1.0,0.9999899347312702,1.0
228550,0.9999899347312702,1.0,0.9999899347312702,1.0
228551,0.9999899347312702,1.0,0.9999899347312702,1.0
228552,0.9999899347312702,1.0,0.9999899347312702,1.0
228553,0.9999899347312702,1.0,0.9999899347312702,1.0
228554,0.9999899347312702,1.0,0.9999899347312702,1.0
228555,0.9999899347312702,1.0,0.9999899347312702,1.0
228556,0.9999899347312702,1.0,0.9999899347312702,1.0
228558,0.0,0.0,0.9999899347312702,1.0
228559,0.0,0.0,0.9999899347312702,1.0
228560,0.0,0.0,0.9999899347312702,1.0
228561,0.0,0.0,0.9999899347312702,1.0
228562,0.0,0.0,0.9999899347312702,1.0
228563,0.0,0.0,0.9999899347312702,1.0
228564,0.0,0.0,0.9999899347312702,1.0
228565,0.0,0.0,0.9999899347312702,1.0
228566,0.0,0.0,0.9999899347312702,1.0
228567,0.0,0.0,0.9999899347312702,1.0
228568,0.0,0.0,0.9999899347312702,1.0
228569,0.0,0.0,0.9999899347312702,1.0
228570,0.0,0.0,0.9999899347312702,1.0
228571,0.0,0.0,0.9999899347312702,1.0
228572,0.0,0.0,0.9999899347312702,1.0
228576,0.004907608034511846,0.0,0.0,0.0
228579,0.009696662430510233,0.0,0.0,0.0
228580,0.009696662430510233,0.0,0.0,0.0
228581,0.009696662430510233,0.0,0.0,0.0
228582,0.009696662430510233,0.0,0.0,0.0
228583,0.009696662430510233,0.0,0.0,0.0
228584,0.009696662430510233,0.0,0.0,0.0
228588,0.0003198082560299934,0.0,0.0003198082560299934,0.0
228590,3.5855919139392636e-08,0.0,0.0003198082560299934,0.0
228591,3.5855919139392636e-08,0.0,0.0003198082560299934,0.0
228592,3.5855919139392636e-08,0.0,0.0003198082560299934,0.0
228593,3.5855919139392636e-08,0.0,0.0003198082560299934,0.0
228594,3.5855919139392636e-08,0.0,0.0003198082560299934,0.0
228597,0.9999915962107441,1.0,0.9999915962107441,1.0
228598,0.9999915962107441,1.0,0.9999915962107441,1.0
228599,0.9999915962107441,1.0,0.9999915962107441,1.0
228600,0.9999915962107441,1.0,0.9999915962107441,1.0
228601,0.9999915962107441,1.0,0.9999915962107441,1.0
228606,0.053901700328058424,0.0,0.053901700328058424,0.0
228608,7.916241887917855e-09,0.0,0.053901700328058424,0.0
228610,2.5729183119595602e-05,0.0,7.916241887917855e-09,0.0
228614,3.7252903001966375e-09,0.0,3.7252903001966375e-09,0.0
228615,3.7252903001966375e-09,0.0,3.7252903001966375e-09,0.0
228616,3.7252903001966375e-09,0.0,3.7252903001966375e-09,0.0
228624,0.009670492266151352,0.0,0.009670488540861052,0.0
228625,0.009670492266151352,0.0,0.009670488540861052,0.0
228626,0.009670492266151352,0.0,0.009670488540861052,0.0
